"X","tempo","sesso","anno","zodiaco","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","cifre","ONUcifre","ONU","giorno","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","gruppo","auto","gandhi","gruppo1","gruppo2","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","corrette","anchor_gandhi","anchor_auto"
33,"2019/02/05 9:17:57 AM CET","Femmina",2000,"Leone","60%","C","Raddoppiata","60 anni","3 miliardi","tutte e tre","E' rimasto più o meno lo stesso","B","20 per cento","50%",34,"Si",40,8,NA,NA,NA,NA,"Più di 100 000 euro",1.2e+07,"Più di 35 anni",94,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,94,"Gandhi35","auto 100.000",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"Gandhi35","auto 100.000"
34,"2019/02/05 9:19:44 AM CET","Maschio",2000,"Ariete","20%","C","Rimasta la stessa","60 anni","4 miliardi","tutte e tre","Ridotto a meno della metà","C","20 per cento","50%",0,"Si",5,1,"Meno di 100 000 euro",65000,"Meno di 114 anni",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",65000,87,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,"Gandhi114","auto 100.000"
35,"2019/02/05 9:19:56 AM CET","Maschio",2002,"Ariete","20%","B","Dimezzata","70 anni","3 miliardi","tutte e tre","E' rimasto più o meno lo stesso","B","50 per cento","50%",11,"No",10,10,NA,NA,NA,NA,"Meno di 100 000 euro",25000,"Più di 35 anni",70,NA,NA,NA,NA,NA,NA,NA,NA,"B",25000,70,"Gandhi35","auto 100.000",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Gandhi35","auto 100.000"
36,"2019/02/05 9:20:26 AM CET","Maschio",2002,"Capricorno","20%","C","Raddoppiata","60 anni","4 miliardi","tutte e tre","Più che raddoppiato","B","50 per cento","80%",61,"No",50,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25000,"Più di 35 anni",55,"D",25000,55,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi35","auto 20.000"
37,"2019/02/05 9:20:43 AM CET","Maschio",2002,"Pesci","20%","B","Raddoppiata","70 anni","4 miliardi","una","E' rimasto più o meno lo stesso","B","50 per cento","80%",96,"No",44,16,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",27000,"Meno di 114 anni",94,NA,NA,NA,NA,"C",27000,94,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,"Gandhi114","auto 20.000"
38,"2019/02/05 9:20:43 AM CET","Maschio",2002,"Vergine","20%","A","Rimasta la stessa","70 anni","3 miliardi","tutte e tre","Ridotto a meno della metà","A","50 per cento","80%",59,"No",20,16,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",24000,"Meno di 114 anni",60,NA,NA,NA,NA,"C",24000,60,"Gandhi114","auto 20.000",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,5,"Gandhi114","auto 20.000"
39,"2019/02/05 9:20:46 AM CET","Maschio",2002,"Vergine","40%","B","Rimasta la stessa","60 anni","3 miliardi","tutte e tre","Più che raddoppiato","C","50 per cento","80%",52,"No",34,16,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",18000,"Meno di 114 anni",89,NA,NA,NA,NA,"C",18000,89,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi114","auto 20.000"
40,"2019/02/05 9:21:15 AM CET","Maschio",2001,"Sagittario","40%","C","Rimasta la stessa","60 anni","4 miliardi","tutte e tre","Più che raddoppiato","C","50 per cento","80%",62,"No",30,1,"Meno di 100 000 euro",20000,"Meno di 114 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",20000,78,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi114","auto 100.000"
41,"2019/02/05 9:21:40 AM CET","Maschio",2000,"Vergine","40%","C","Rimasta la stessa","70 anni","3 miliardi","tutte e tre","E' rimasto più o meno lo stesso","C","50 per cento","50%",88,"No",27,6,"Meno di 100 000 euro",12000,"Meno di 114 anni",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",12000,109,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"Gandhi114","auto 100.000"
42,"2019/02/05 9:21:43 AM CET","Maschio",2002,"Acquario","20%","A","Raddoppiata","70 anni","4 miliardi","una","E' rimasto più o meno lo stesso","C","50 per cento","80%",54,"No",10,9,NA,NA,NA,NA,"Meno di 100 000 euro",25000,"Più di 35 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,"B",25000,78,"Gandhi35","auto 100.000",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"Gandhi35","auto 100.000"
